state,district,murder
Uttar Pradesh,Agra,178
Uttar Pradesh,Aligarh,179
Uttar Pradesh,Allahabad,132
Uttar Pradesh,Ambedkar Nagar,24
Uttar Pradesh,Amethi,36
Uttar Pradesh,Amroha,60
Uttar Pradesh,Auraiya,34
Uttar Pradesh,Azamgarh,68
Uttar Pradesh,Budaun,120
Uttar Pradesh,Baghpat,83
Uttar Pradesh,Bahraich,53
Uttar Pradesh,Ballia,36
Uttar Pradesh,Balrampur,28
Uttar Pradesh,Banda,42
Uttar Pradesh,Barabanki,57
Uttar Pradesh,Bareilly,132
Uttar Pradesh,Basti,31
Uttar Pradesh,Bijnor,84
Uttar Pradesh,Bulandshahr,171
Uttar Pradesh,Chandauli,20
Uttar Pradesh,Chitrakoot,33
Uttar Pradesh,Deoria,42
Uttar Pradesh,Etah,65
Uttar Pradesh,Etawah,55
Uttar Pradesh,Faizabad,32
Uttar Pradesh,Farrukhabad,58
Uttar Pradesh,Fatehpur,55
Uttar Pradesh,Firozabad,140
Uttar Pradesh,Gautam Buddha Nagar,104
Uttar Pradesh,Ghaziabad,166
Uttar Pradesh,Ghazipur,64
Uttar Pradesh,Gonda,45
Uttar Pradesh,Gorakhpur,113
Uttar Pradesh,Hamirpur,31
Uttar Pradesh,Hapur,42
Uttar Pradesh,Hardoi,79
Uttar Pradesh,Hathras,72
Uttar Pradesh,Jalaun,36
Uttar Pradesh,Jaunpur,55
Uttar Pradesh,Jhansi,68
Uttar Pradesh,Kannauj,39
Uttar Pradesh,Kanpur Dehat,46
Uttar Pradesh,Kanpur Nagar,137
Uttar Pradesh,Kasganj,20
Uttar Pradesh,Kaushambi,40
Uttar Pradesh,Lakhimpur Kheri,79
Uttar Pradesh,Kushinagar,36
Uttar Pradesh,Lalitpur,27
Uttar Pradesh,Lucknow,132
Uttar Pradesh,Maharajganj,33
Uttar Pradesh,Mahoba,27
Uttar Pradesh,Mainpuri,57
Uttar Pradesh,Mathura,86
Uttar Pradesh,Mau,28
Uttar Pradesh,Meerut,226
Uttar Pradesh,Mirzapur,25
Uttar Pradesh,Moradabad,90
Uttar Pradesh,Muzaffarnagar,137
Uttar Pradesh,Pilibhit,54
Uttar Pradesh,Pratapgarh,72
Uttar Pradesh,Rae Bareli,50
Uttar Pradesh,Rampur,54
Uttar Pradesh,Saharanpur,92
Uttar Pradesh,Sambhal,73
Uttar Pradesh,Sant Kabir Nagar,28
Uttar Pradesh,Shahjahanpur,88
Uttar Pradesh,Shamli,67
Uttar Pradesh,Shrawasti,15
Uttar Pradesh,Siddharth Nagar,17
Uttar Pradesh,Sitapur,91
Uttar Pradesh,Sonbhadra,32
Uttar Pradesh,Sant Ravi Das Nagar(Bhadohi),17
Uttar Pradesh,Sultanpur,53
Uttar Pradesh,Unnao,77
Uttar Pradesh,Varanasi,52
