code,district,headquarters,division,population,area,density_km
AG,Agra,Agra,Agra,4418800,4027,1532
AL,Aligarh,Aligarh,Aligarh,3690388,3747,798
AH,Allahabad,Allahabad,Allahabad,5959798,5482,1087
AN,Ambedkar Nagar,Akbarpur,Faizabad,2025376,2372,854
AM,Amethi,Gauriganj,Faizabad,2549935,3315,769
JP,Amroha,Amroha,Moradabad,1499193,2321,646
AU,Auraiya,Auraiya,Kanpur,1179496,2051,575
AZ,Azamgarh,Azamgarh,Azamgarh,3950808,4234,933
BD,Budaun,Badaun,Bareilly,3069245,5168,594
BG,Baghpat,Baghpat,Meerut,1163991,1389,838
BH,Bahraich,Bahraich,Devipatan,2384239,5745,415
BL,Ballia,Ballia,Azamgarh,2752412,2981,923
BP,Balrampur,Balrampur,Devipatan,1684567,2925,576
BN,Banda,Banda,Chitrakoot,1500253,4413,340
BB,Barabanki,Barabanki,Faizabad,2673394,3825,699
BR,Bareilly,Bareilly,Bareilly,3598701,4120,873
BS,Basti,Basti,Basti,2068922,3034,682
BI,Bijnor,Bijnor,Moradabad,3130586,4561,686
BU,Bulandshahr,Bulandshahr,Meerut,2923290,3719,786
CD,Chandauli,Chandauli,Varanasi,1639777,2554,642
CT,Chitrakoot,Chitrakoot,Chitrakoot,800592,3202,250
DE,Deoria,Deoria,Gorakhpur,2730376,2535,1077
ET,Etah,Etah,Aligarh,2788274,4446,627
EW,Etawah,Etawah,Kanpur,1340031,2287,586
FZ,Faizabad,Faizabad,Faizabad,2087914,2765,755
FR,Farrukhabad,Fatehgarh,Kanpur,1577237,2279,692
FT,Fatehpur,Fatehpur,Allahabad,2305847,4152,555
FI,Firozabad,Firozabad,Agra,2045737,2361,866
GB,Gautam Buddha Nagar,Greater Noida,Meerut,1191263,1269,939
GZ,Ghaziabad,Ghaziabad,Meerut,3289540,1956,1682
GP,Ghazipur,Ghazipur,Varanasi,3049337,3377,903
GN,Gonda,Gonda,Devipatan,2765754,4425,625
GR,Gorakhpur,Gorakhpur,Gorakhpur,3784720,3325,1138
HM,Hamirpur,Hamirpur,Chitrakoot,1042374,4325,241
HA,Hapur,Hapur,Meerut,1338211,660,2028
HR,Hardoi,Hardoi,Lucknow,3397414,5986,568
HT,Hathras,Hathras,Aligarh,1333372,1752,761
JL,Jalaun,Orai,Jhansi,1454452,4565,319
JU,Jaunpur,Jaunpur,Varanasi,3911305,4038,969
JH,Jhansi,Jhansi,Jhansi,1746715,5024,348
KJ,Kannauj,Kannauj,Kanpur,1385227,1993,695
KD,Kanpur Dehat,Akbarpur,Kanpur,1584037,3143,504
KN,Kanpur Nagar,Kanpur,Kanpur,4137489,3029,1366
KG,Kasganj,Kasganj,Aligarh,1438156,1993,722
KS,Kaushambi,Manjhanpur,Allahabad,1294937,1837,705
KU,Kushinagar,Padarauna,Gorakhpur,2891933,2909,994
LK,Lakhimpur Kheri,Kheri,Lucknow,3200137,7680,417
LA,Lalitpur,Lalitpur,Jhansi,977447,5039,194
LU,Lucknow,Lucknow,Lucknow,3681416,2528,1456
MG,Maharajganj,Maharajganj,Gorakhpur,2167041,2948,735
MH,Mahoba,Mahoba,Chitrakoot,708831,2847,249
MP,Mainpuri,Mainpuri,Agra,1592875,2760,577
MT,Mathura,Mathura,Agra,2069578,3333,621
MB,Mau,Mau,Azamgarh,1849294,1713,1080
ME,Meerut,Meerut,Meerut,3001636,2522,1190
MI,Mirzapur,Mirzapur,Mirzapur,2114852,4522,468
MO,Moradabad,Moradabad,Moradabad,3749630,3648,1028
MU,Muzaffarnagar,Muzaffarnagar,Saharanpur,3541952,2945,884
PI,Pilibhit,Pilibhit,Bareilly,1643788,3499,470
PR,Pratapgarh,Pratapgarh,Allahabad,2727156,3717,734
RB,Rae Bareli,Rae Bareli,Lucknow,2872204,4609,623
RA,Rampur,Rampur,Moradabad,1922450,2367,812
SA,Saharanpur,Saharanpur,Saharanpur,2848152,3860,772
SK,Sant Kabir Nagar,Khalilabad,Basti,1714300,1659.1499999999999,1000
SR,Sant Ravi Das Nagar(Bhadohi),Gyanpur,Mirzapur,1352056,960,1408
SM,Sambhal,Sambhal,Moradabad,2217020,2452.3,890
SJ,Shahjahanpur,Shahjahanpur,Bareilly,2549458,4575,557
SH,Shamli,Shamli,Saharanpur,1377840,1054,928
SV,Shrawasti,Shravasti,Devipatan,1175428,1126,1044
SN,Siddharth Nagar,Siddharthnagar,Basti,2038598,2751,741
SI,Sitapur,Sitapur,Lucknow,3616510,5743,630
SO,Sonbhadra,Robertsganj,Mirzapur,1862612,6788,270
SU,Sultanpur,Sultanpur,Faizabad,3190926,4436,719
UN,Unnao,Unnao,Lucknow,2700426,4558,592
VA,Varanasi,Varanasi,Varanasi,3147927,1578,1995
